Stock,MSE,MAE
삼성전자,2.9627707111523595e-30,1.2150830823044566e-15
LG에너지솔루션,3.367174501895916e-30,1.347996948861731e-15
현대모비스,1.0663164889751854e-29,2.3625094637686314e-15
SK텔레콤,7.912268270795441e-30,1.863314202868664e-15
POSCO홀딩스,4.819568700790254e-30,1.6161011958788515e-15
NAVER,2.492914862351664e-29,3.325284720851539e-15
LG전자,8.672192059201325e-30,2.0308392821597365e-15
LG화학,3.4416937636917876e-30,1.2426466702574505e-15
SK하이닉스,9.756961130354281e-31,6.554545787059358e-16
카카오,6.1140889392602826e-30,1.8014363928056242e-15
삼성SDI,1.8833028682786402e-30,9.758935597155974e-16
현대차,3.0337231519145488e-30,1.205073628436983e-15
기아,1.3166458812576563e-30,8.355849838854817e-16
SK이노베이션,6.511573582579985e-30,1.7852740139443834e-15
SK,7.949502029163761e-30,1.8646152454756464e-15
삼성물산,1.0720586712319624e-29,2.3588846869925397e-15
한화솔루션,4.034024503604858e-30,1.3839452407217119e-15
KT&G,2.802302848577578e-30,1.1974053056789222e-15
삼성생명,2.4619226714310813e-31,3.451198804213844e-16
삼성화재,1.1769565153044882e-30,7.684657242367186e-16
롯데케미칼,1.3035625383269076e-30,8.138052572641024e-16
LG생활건강,1.7631675373181756e-30,8.3842814098650955e-16
고려아연,6.85731130837568e-30,1.7576190920547962e-15
S-Oil,2.140686610640971e-31,3.1325924821342783e-16
현대글로비스,8.180988541731655e-30,1.9635528876202003e-15
CJ제일제당,7.430316641063496e-30,1.91066867437477e-15
KT,3.2464681155335235e-30,1.2321581792123342e-15
하나금융지주,1.3041068532090538e-30,8.095190860968295e-16
신한지주,1.0044444922081331e-30,6.994439849019093e-16
KB금융,3.303938467358273e-31,4.080576612043438e-16
